7227	7077	0.979	12.523	<subj>_ActVp:POS__AGED
3819	3759	0.984	11.690	ActVp_<dobj>:POS__AGED
4236	3982	0.940	11.242	Np_Prep_<NP>:POS__TOTAL_OF
2617	2561	0.979	11.080	Np_Prep_<NP>:POS__SAMPLE_OF
7174	6248	0.871	10.982	Np_Prep_<NP>:POS__PATIENTS_WITH
1914	1887	0.986	10.728	ActVp_Prep_<NP>:POS__AGED_TO
3125	2802	0.897	10.269	<subj>_ActVp:POS__AGE
1513	1475	0.975	10.262	<subj>_PassVp:POS__RECRUITED
1518	1457	0.960	10.086	Np_Prep_<NP>:POS__YEARS_WITH
2139	1962	0.917	10.033	<subj>_ActVp:POS__PARTICIPATED
1106	1088	0.984	9.923	ActVp_Prep_<NP>:POS__AGED_WITH
1327	1276	0.962	9.921	Np_Prep_<NP>:POS__STUDY_OF
1240	1195	0.964	9.852	ActVp_<dobj>:POS__AGE
944	939	0.995	9.823	Np_Prep_<NP>:POS__EYES_OF
1650	1511	0.916	9.672	<subj>_PassVp:POS__INCLUDED
906	891	0.983	9.637	<subj>_ActVp:POS__RECRUITED
848	833	0.982	9.531	ActVp_Prep_<NP>:POS__AGED_IN
763	758	0.993	9.503	Subj_AuxVp_<dobj>:POS__BE_PARTICIPANTS
1655	1487	0.898	9.468	ActVp_Prep_<NP>:POS__PARTICIPATED_IN
962	924	0.960	9.463	<subj>_ActVp:POS__ENROLLED
907	867	0.956	9.329	<subj>_ActVp:POS__ADMITTED
959	908	0.947	9.304	Np_Prep_<NP>:POS__YEARS_IN
648	645	0.995	9.290	<subj>_ActVp_Dobj:POS__AGED_&&65
852	815	0.957	9.251	<subj>_PassVp:POS__ENROLLED
681	665	0.977	9.157	Np_Prep_<NP>:POS__ADULTS_WITH
699	675	0.966	9.076	Np_Prep_<NP>:POS__EYES_WITH
1384	1214	0.877	8.987	Np_Prep_<NP>:POS__YEARS_OF
516	513	0.994	8.950	PassVp_Prep_<NP>:POS__RECRUITED_FROM
690	653	0.946	8.850	Np_Prep_<NP>:POS__COHORT_OF
603	581	0.964	8.847	ActVp_Prep_<NP>:POS__ENROLLED_IN
612	587	0.959	8.822	ActVp_Prep_<NP>:POS__ADMITTED_TO
466	464	0.996	8.820	ActVp_Prep_<NP>:POS__RECRUITED_FROM
548	530	0.967	8.753	Np_Prep_<NP>:POS__YEARS_FROM
680	637	0.937	8.726	Np_Prep_<NP>:POS__PATIENTS_FROM
789	723	0.916	8.703	PassVp_Prep_<NP>:POS__INCLUDED_IN
571	542	0.949	8.621	Np_Prep_<NP>:POS__INDIVIDUALS_WITH
592	557	0.941	8.582	<subj>_PassVp:POS__EXCLUDED
511	490	0.959	8.569	Np_Prep_<NP>:POS__YEARS_AT
438	429	0.979	8.565	Np_Prep_<NP>:POS__SAMPLE_WITH
749	680	0.908	8.543	Np_Prep_<NP>:POS__AGE_OF
563	530	0.941	8.519	Np_Prep_<NP>:POS__STUDY_IN
717	653	0.911	8.516	<subj>_PassVp:POS__SELECTED
415	407	0.981	8.502	ActVp_Prep_<NP>:POS__AGE_WITH
883	780	0.883	8.487	<subj>_ActVp:POS__DIAGNOSED
928	814	0.877	8.481	<subj>_ActVp:POS__CONDUCTED
400	393	0.983	8.468	ActVp_Prep_<NP>:POS__AGED_AT
410	400	0.976	8.433	ActVp_Prep_<NP>:POS__AGED_FROM
810	718	0.886	8.410	<subj>_ActVp:POS__SELECTED
652	594	0.911	8.395	Np_Prep_<NP>:POS__SUBJECTS_WITH
436	420	0.963	8.394	Np_Prep_<NP>:POS__LIVING_IN
502	474	0.944	8.393	Np_Prep_<NP>:POS__MEMBERS_OF
553	515	0.931	8.389	<subj>_ActVp:POS__BORN
493	466	0.945	8.379	Np_Prep_<NP>:POS__STUDY_WITH
625	570	0.912	8.349	<subj>_ActVp:POS__MATCHED
1193	999	0.837	8.344	Np_Prep_<NP>:POS__WOMEN_WITH
509	475	0.933	8.298	ActVp_Prep_<NP>:POS__DIAGNOSED_WITH
644	578	0.898	8.235	Np_Prep_<NP>:POS__PARTICIPANTS_WITH
920	786	0.854	8.217	Np_Prep_<NP>:POS__DATA_FROM
414	394	0.952	8.206	Np_Prep_<NP>:POS__PARTICIPATING_IN
616	554	0.899	8.196	<subj>_ActVp:POS__UNDERGOING
607	546	0.900	8.179	ActVp_<dobj>:POS__UNDERGOING
326	318	0.975	8.109	Np_Prep_<NP>:POS__&&18_TO
299	295	0.987	8.095	ActVp_Prep_<NP>:POS__AGED_BETWEEN
716	624	0.872	8.092	Np_Prep_<NP>:POS__CHILDREN_WITH
292	288	0.986	8.058	Np_Prep_<NP>:POS__SAMPLE_IN
419	390	0.931	8.012	Np_Prep_<NP>:POS__MEN_WITH
448	412	0.920	7.988	Np_Prep_<NP>:POS__PEOPLE_WITH
422	390	0.924	7.955	Np_Prep_<NP>:POS__SURVEY_OF
345	328	0.951	7.946	PassVp_Prep_<NP>:POS__ENROLLED_IN
370	348	0.941	7.941	<subj>_ActVp:POS__AGES
284	277	0.975	7.914	Np_Prep_<NP>:POS__PARTICIPANTS_FROM
298	288	0.966	7.896	<subj>_AuxVp_Adjp:POS__BE_ELIGIBLE
294	283	0.963	7.840	<subj>_ActVp_Dobj:POS__INCLUDED_PATIENTS
229	228	0.996	7.799	<subj>_ActVp_Dobj:POS__AGED_&&18
400	365	0.913	7.767	<subj>_ActVp:POS__REFERRED
263	255	0.970	7.751	PassVp_Prep_<NP>:POS__SELECTED_FROM
279	268	0.961	7.748	<subj>_ActVp:POS__ATTENDING
329	308	0.936	7.739	Np_Prep_<NP>:POS__YEARS_TO
329	308	0.936	7.739	Np_Prep_<NP>:POS__PERSONS_WITH
277	266	0.960	7.735	Np_Prep_<NP>:POS__HOSPITALS_IN
325	304	0.935	7.715	ActVp_Prep_<NP>:POS__CONDUCTED_IN
284	271	0.954	7.712	ActVp_<dobj>:POS__ATTENDING
211	210	0.995	7.678	<subj>_ActVp_Dobj:POS__AGED_&&70
397	358	0.902	7.650	<subj>_PassVp:POS__INTERVIEWED
242	235	0.971	7.649	Np_Prep_<NP>:NEG__HISTORY_OF
472	415	0.879	7.647	ActVp_<dobj>:POS__SELECTED
246	238	0.967	7.638	ActVp_Prep_<NP>:POS__BORN_IN
384	347	0.904	7.626	Np_Prep_<NP>:POS__UNIVERSITY_OF
209	207	0.990	7.620	PassVp_Prep_<NP>:POS__RECRUITED_IN
196	196	1.000	7.615	ActVp_<dobj>:POS__COMMUNITY-DWELLING
251	241	0.960	7.598	<subj>_AuxVp_Dobj:POS__BE_PATIENTS
217	213	0.982	7.592	ActVp_<dobj>:POS__AGES
216	211	0.977	7.542	Np_Prep_<NP>:POS__SAMPLE_FROM
268	253	0.944	7.536	Np_Prep_<NP>:POS__DEPARTMENT_OF
241	231	0.959	7.526	ActVp_Prep_<NP>:POS__SELECTED_FROM
265	250	0.943	7.515	Np_Prep_<NP>:POS__HOSPITAL_IN
182	182	1.000	7.508	<subj>_ActVp_Dobj:POS__AGED_&&60
222	215	0.968	7.504	Np_Prep_<NP>:POS__STUDY_FROM
215	209	0.972	7.492	<subj>_ActVp:POS__PLACEBO-CONTROLLED
198	195	0.985	7.492	ActVp_Prep_<NP>:POS__ADMITTED_WITH
175	175	1.000	7.451	Np_Prep_<NP>:POS__HOSPITAL_BETWEEN
275	256	0.931	7.447	<subj>_ActVp:POS__RESPONDED
202	197	0.975	7.433	Np_Prep_<NP>:POS__RESIDENTS_OF
210	203	0.967	7.410	<subj>_ActVp_Dobj:POS__COMPLETED_STUDY
213	205	0.962	7.391	Np_Prep_<NP>:POS__AGES_OF
185	182	0.984	7.386	<subj>_PassVp:POS__AGED
279	257	0.921	7.374	Np_Prep_<NP>:POS__STUDENTS_IN
200	194	0.970	7.372	<subj>_ActVp:POS__HOSPITALIZED
203	196	0.966	7.352	ActVp_<dobj>:POS__ENROLLED
223	212	0.951	7.347	Np_Prep_<NP>:POS__SURVEY_IN
184	180	0.978	7.329	ActVp_<dobj>:POS__PLACEBO-CONTROLLED
415	358	0.863	7.319	ActVp_<dobj>:POS__CONTROLLED
306	276	0.902	7.314	<subj>_PassVp:POS__INVITED
284	259	0.912	7.311	Np_Prep_<NP>:POS__AGE_WITH
158	158	1.000	7.304	Np_Prep_<NP>:POS__&&65_TO
549	454	0.827	7.299	<subj>_ActVp:POS__RANGE
205	196	0.956	7.280	<subj>_ActVp:POS__AGE-MATCHED
214	203	0.949	7.271	ActVp_Prep_<NP>:POS__UNDERWENT_BETWEEN
285	258	0.905	7.252	<subj>_ActVp_Dobj:POS__MET_CRITERIA
164	162	0.988	7.250	Np_Prep_<NP>:POS__STUDENTS_FROM
155	154	0.994	7.220	<subj>_ActVp_Dobj:POS__AGE_RANGE
369	320	0.867	7.217	ActVp_<dobj>:POS__MET
222	208	0.937	7.215	Np_Prep_<NP>:POS__RESIDENTS_IN
197	188	0.954	7.209	<subj>_AuxVp_Dobj:POS__BE_WOMEN
148	148	1.000	7.209	Np_Prep_<NP>:POS__&&65_WITH
292	262	0.897	7.208	<subj>_ActVp:POS__REGISTERED
279	252	0.903	7.205	Np_Prep_<NP>:POS__TRIAL_OF
206	195	0.947	7.201	<subj>_ActVp_Dobj:POS__CONTROLLED_TRIAL
225	210	0.933	7.200	Np_Prep_<NP>:POS__WOMEN_FROM
168	164	0.976	7.182	ActVp_Prep_<NP>:POS__ADMITTED_FOR
167	163	0.976	7.173	ActVp_<dobj>:POS__RECRUITED
231	214	0.926	7.172	Np_Prep_<NP>:POS__POPULATION_OF
380	326	0.858	7.162	Np_Prep_<NP>:POS__WOMEN_IN
142	142	1.000	7.150	ActVp_Prep_<NP>:NEG__AGED_WITHOUT
233	215	0.923	7.150	<subj>_ActVp_Dobj:POS__UNDERGOING_SURGERY
263	238	0.905	7.144	ActVp_Prep_<NP>:POS__SUBJECTS_WITH
249	227	0.912	7.135	<subj>_ActVp:POS__CENTERS
167	162	0.970	7.120	Np_Prep_<NP>:NEG__YEARS_WITHOUT
196	185	0.944	7.109	ActVp_Prep_<NP>:POS__REFERRED_TO
232	213	0.918	7.101	Np_Prep_<NP>:POS__WORKING_IN
189	179	0.947	7.088	Np_Prep_<NP>:POS__COHORT_WITH
147	145	0.986	7.082	ActVp_Prep_<NP>:POS__RECRUITED_IN
276	246	0.891	7.079	InfVp_Prep_<NP>:POS__PARTICIPATE_IN
141	140	0.993	7.079	ActVp_Prep_<NP>:POS__CONDUCTED_BETWEEN
202	189	0.936	7.076	ActVp_Prep_<NP>:POS__MATCHED_FOR
140	139	0.993	7.068	<subj>_ActVp_Dobj:POS__INCLUDED_WOMEN
302	265	0.877	7.064	ActVp_<dobj>:POS__STUDIED
156	152	0.974	7.062	ActVp_Prep_<NP>:POS__ADMITTED_BETWEEN
145	143	0.986	7.061	<subj>_ActVp_Dobj:POS__AGED_&&50
139	138	0.993	7.057	ActVp_Prep_<NP>:POS__AGES_TO
176	168	0.955	7.056	ActVp_<dobj>:POS__AGE-MATCHED
246	222	0.902	7.034	Np_Prep_<NP>:POS__PART_IN
131	131	1.000	7.033	<subj>_ActVp:POS__VOLUNTEERED
153	149	0.974	7.030	Np_Prep_<NP>:POS__CLINICS_IN
142	140	0.986	7.029	Np_Prep_<NP>:POS__PARTICIPANTS_OF
130	130	1.000	7.022	<subj>_ActVp:POS__COMMUNITY-DWELLING
139	137	0.986	6.996	Np_Prep_<NP>:POS__INDIVIDUALS_FROM
127	127	1.000	6.989	Np_Prep_<NP>:POS__ML/MIN_PER
159	153	0.962	6.984	Np_Prep_<NP>:POS__RESIDING_IN
182	171	0.940	6.970	Np_Prep_<NP>:POS__ADULTS_IN
487	393	0.807	6.955	ActVp_Prep_<NP>:POS__INCLUDED_WITH
490	395	0.806	6.953	Np_Prep_<NP>:POS__PATIENTS_TO
454	370	0.815	6.953	Np_Prep_<NP>:POS__GROUP_OF
129	128	0.992	6.946	ActVp_Prep_<NP>:POS__BORN_BETWEEN
200	184	0.920	6.922	Np_Prep_<NP>:POS__PARENTS_OF
158	151	0.956	6.918	<subj>_ActVp:POS__SEX-MATCHED
186	173	0.930	6.915	Np_Prep_<NP>:POS__PATIENTS_BETWEEN
355	298	0.839	6.899	<subj>_ActVp:POS__NURSES
166	157	0.946	6.899	Np_Prep_<NP>:POS__TRIAL_IN
119	119	1.000	6.895	Np_Prep_<NP>:POS__EYES_FROM
151	145	0.960	6.895	<subj>_PassInfVp:POS__INVITED_PARTICIPATE
164	155	0.945	6.877	ActVp_Prep_<NP>:POS__CONDUCTED_AT
164	155	0.945	6.877	Np_Prep_<NP>:POS__AGE_FROM
393	324	0.824	6.876	<subj>_ActVp:POS__STUDIED
